# CHIME target band set (central wavelength + FWHM, nm) -- PLACEHOLDER.
# Generated envelope: VNIR-SWIR 400-2500 nm, SSD ~10 nm, FWHM <= 12 nm
# (CHIME MRD [RD01] / L2A ATBD [AD01]). Replace with the official CHIME
# spectral response definition before operational use.
band,central_wavelength_nm,fwhm_nm
CH001,400.0,10.0
CH002,410.0,10.0
CH003,420.0,10.0
CH004,430.0,10.0
CH005,440.0,10.0
CH006,450.0,10.0
CH007,460.0,10.0
CH008,470.0,10.0
CH009,480.0,10.0
CH010,490.0,10.0
CH011,500.0,10.0
CH012,510.0,10.0
CH013,520.0,10.0
CH014,530.0,10.0
CH015,540.0,10.0
CH016,550.0,10.0
CH017,560.0,10.0
CH018,570.0,10.0
CH019,580.0,10.0
CH020,590.0,10.0
CH021,600.0,10.0
CH022,610.0,10.0
CH023,620.0,10.0
CH024,630.0,10.0
CH025,640.0,10.0
CH026,650.0,10.0
CH027,660.0,10.0
CH028,670.0,10.0
CH029,680.0,10.0
CH030,690.0,10.0
CH031,700.0,10.0
CH032,710.0,10.0
CH033,720.0,10.0
CH034,730.0,10.0
CH035,740.0,10.0
CH036,750.0,10.0
CH037,760.0,10.0
CH038,770.0,10.0
CH039,780.0,10.0
CH040,790.0,10.0
CH041,800.0,10.0
CH042,810.0,10.0
CH043,820.0,10.0
CH044,830.0,10.0
CH045,840.0,10.0
CH046,850.0,10.0
CH047,860.0,10.0
CH048,870.0,10.0
CH049,880.0,10.0
CH050,890.0,10.0
CH051,900.0,10.0
CH052,910.0,10.0
CH053,920.0,10.0
CH054,930.0,10.0
CH055,940.0,10.0
CH056,950.0,10.0
CH057,960.0,10.0
CH058,970.0,10.0
CH059,980.0,10.0
CH060,990.0,10.0
CH061,1000.0,10.0
CH062,1010.0,10.0
CH063,1020.0,10.0
CH064,1030.0,10.0
CH065,1040.0,10.0
CH066,1050.0,10.0
CH067,1060.0,10.0
CH068,1070.0,10.0
CH069,1080.0,10.0
CH070,1090.0,10.0
CH071,1100.0,10.0
CH072,1110.0,10.0
CH073,1120.0,10.0
CH074,1130.0,10.0
CH075,1140.0,10.0
CH076,1150.0,10.0
CH077,1160.0,10.0
CH078,1170.0,10.0
CH079,1180.0,10.0
CH080,1190.0,10.0
CH081,1200.0,10.0
CH082,1210.0,10.0
CH083,1220.0,10.0
CH084,1230.0,10.0
CH085,1240.0,10.0
CH086,1250.0,10.0
CH087,1260.0,10.0
CH088,1270.0,10.0
CH089,1280.0,10.0
CH090,1290.0,10.0
CH091,1300.0,10.0
CH092,1310.0,10.0
CH093,1320.0,10.0
CH094,1330.0,10.0
CH095,1340.0,10.0
CH096,1350.0,10.0
CH097,1360.0,10.0
CH098,1370.0,10.0
CH099,1380.0,10.0
CH100,1390.0,10.0
CH101,1400.0,10.0
CH102,1410.0,10.0
CH103,1420.0,10.0
CH104,1430.0,10.0
CH105,1440.0,10.0
CH106,1450.0,10.0
CH107,1460.0,10.0
CH108,1470.0,10.0
CH109,1480.0,10.0
CH110,1490.0,10.0
CH111,1500.0,10.0
CH112,1510.0,10.0
